#
#  metacyc 19.5 Pathways link table generated on Tue Oct 6, 2015
#
PWY-6012-1	acyl carrier protein activation	[acp] metabolism	ACP metabolism
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY-5945	zeaxanthin, antheraxanthin and violaxanthin interconversion	xanthophyll cycle
PWY-6303	methyl indole-3-acetate interconversion	MeIAA interconversion	Methyl IAA biosynthesis
PWY-7056	daphnin interconversion	
PWY-7057	cichoriin interconversion	
PWY-7723	bacterial bioluminescence	
PWY-6146	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism	
PWY-5751	phenylethanol biosynthesis	phenyacetaldehyde biosynthesis	phenylacetaldehyde and phenylethanol biosynthesis
PWY-5765	1,3,5-trimethoxybenzene biosynthesis	trimethoxybenzene biosynthesis	TMB biosynthesis
PWY-5787	oligomeric urushiol biosynthesis	urushiol biosynthesis	lacquer biosynthesis
PWY-5886	4-hydroxyphenylpyruvate biosynthesis	
PWY-5901	2,3-dihydroxybenzoate biosynthesis	
PWY-6320	phaselate biosynthesis	<i>o</i>-diphenol biosynthesis
PWY-6323	benzoylanthranilate biosynthesis	dianthalexins biosynthesis	N-benzoyl-4-methoxyanthranilic acid biosynthesis
PWY-6406	salicylate biosynthesis I	salicylic acid biosynthesis
PWY-6457	<i>trans</i>-cinnamoyl-CoA biosynthesis	(<i>E</i>)-cinnamoyl-CoA biosynthesis	<i>trans</i>-cinnamoyl-coenzyme A biosynthesis	cinnamoyl-CoA biosynthesis
PWY-6458	benzoyl-CoA biosynthesis	benzoyl-coenzyme A biosynthesis
PWY-6621	salicylate glucosides biosynthesis I	2,5-dihydroxybenzoate 2-O-&beta;-D-glucoside biosynthesis	2,5-dihydroxybenzoic acid 2-O-&beta;-D-glucoside biosynthesis	salicylic acid glucosides biosynthesis I
PWY-6623	salicylate glucosides biosynthesis II	2,5-dihydroxybenzoate 5-O-&beta;-D-glucoside biosynthesis	2,5-dihydroxybenzoic acid 5-O-&beta;-D-glucoside biosynthesis	salicylic acid glucosides biosynthesis II
PWY-6624	salicylate glucosides biosynthesis III	salicylic acid glucosides biosynthesis III	salicylate glucose ester biosynthesis	SA glucose ester biosynthesis	SGE biosynthesis
PWY-6707	gallate biosynthesis	
PWY-6752	<i>o</i>-diquinones biosynthesis	biosynthesis of o-diquinones	fruit browning
PWY-6762	salicylate glucosides biosynthesis IV	SA glucosides biosynthesis IV	salicylate 2-O-&beta;-D-glucoside biosynthesis	salicylic acid glucosides biosynthesis IV	SAG-&beta;-D-glucoside biosynthesis	salicylic acid 2-O-&beta;-D-glucoside biosynthesis
PWY-6930	phenolic malonylglucosides biosynthesis	
PWY-7074	phenylethanol glycoconjugate biosynthesis	
PWY-7076	3,5-dimethoxytoluene biosynthesis	DMT biosynthesis
PWY-7303	3-dimethylallyl-4-hydroxybenzoate biosynthesis	
PWY-981	salicylate biosynthesis II	salicylic acid biosynthesis
PWY-6164	3-dehydroquinate biosynthesis I	
PWY-6160	3-dehydroquinate biosynthesis II (archaea)	
PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	<i>p</i>-hydroxybenzoate biosynthesis I (eukaryotes)
PWY-6435	4-hydroxybenzoate biosynthesis V	
PWY-6431	4-hydroxybenzoate biosynthesis IV	p-hydroxybenzoate biosynthesis IV
PWY-5755	4-hydroxybenzoate biosynthesis II (microbes)	<i>p</i>-hydroxybenzoate biosynthesis II
PWY3O-1109	superpathway of 4-hydroxybenzoate biosynthesis (yeast)	
ARO-PWY	chorismate biosynthesis I	aromatic amino acid biosynthesis	shikimate pathway
PWY-6165	chorismate biosynthesis II (archaea)	
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	Interconversion of L-aspartate and L-asparagine
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	superpathway of L-phenylalanine, L-tyrosine, and L-tryptophan biosynthesis
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	
PWY-3481	superpathway of L-phenylalanine and L-tyrosine biosynthesis	
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	
PWY-821	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>)	
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	
PWY-6482	diphthamide biosynthesis (archaea)	
PWY-5905	hypusine biosynthesis	
PWY-7546	diphthamide biosynthesis (eukaryotes)	
PWY0-1021	L-alanine biosynthesis III	
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	
ALANINE-SYN2-PWY	L-alanine biosynthesis II	
PWY0-1061	superpathway of L-alanine biosynthesis	
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	
PWY-5154	L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)	
PWY-4983	L-citrulline-nitric oxide cycle	L-citrulline-NO cycle	nitric oxide biosynthesis II
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	
ASPARAGINESYN-PWY	L-asparagine biosynthesis II	L-asparagine - L-aspartate pathway
PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	L-asparaginyl-tRNA<sup>asn</sup> biosynthesis via transamidation
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	
PWY0-1325	superpathway of L-asparagine biosynthesis	
ASPSYNII-PWY	cyanide detoxification I	&beta;-cyanoalanine biosynthesis	asparagine biosynthesis II
GLUTDEG-PWY	L-glutamate degradation II	L-glutamate - L-aspartate pathway	L-aspartate degradation
ASPARTATESYN-PWY	L-aspartate biosynthesis	L-aspartate biosynthesis and degradation
PWY-6293	L-cysteine biosynthesis IV (fungi)	
PWY-6292	superpathway of L-cysteine biosynthesis (mammalian)	
PWY-7289	L-cysteine biosynthesis V	
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	L-homocysteine degradation
CYSTSYN-PWY	L-cysteine biosynthesis I	
PWY-6308	L-cysteine biosynthesis II (tRNA-dependent)	L-cysteinyl-tRNA<sup>cys</sup> biosynthesis via tRNA modification
PWY-5505	L-glutamate and L-glutamine biosynthesis	
GLUGLNSYN-PWY	L-glutamate biosynthesis IV	L-glutamate biosynthesis from L-glutamine
GLUTSYNIII-PWY	L-glutamate biosynthesis III	
GLUTSYN-PWY	L-glutamate biosynthesis I	
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II	
PWY-4341	L-glutamate biosynthesis V	
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	L-arginase degradative pathway	L-glutamate biosynthesis
PWY-6549	L-glutamine biosynthesis III	L-glutamine biosynthesis (nitrogen remobilization from senescing leaves)
GLNSYN-PWY	L-glutamine biosynthesis I	L-glutamine - L-glutamate pathway
GLYCINE-SYN2-PWY	glycine biosynthesis II	
GLYSYN-THR-PWY	glycine biosynthesis IV	
GLYSYN-PWY	glycine biosynthesis I	
GLYSYN-ALA-PWY	glycine biosynthesis III	
PWY-5029	imidazole-lactate degradation	
HISTSYN-PWY	L-histidine biosynthesis	
PWY-5101	L-isoleucine biosynthesis II	
PWY-5108	L-isoleucine biosynthesis V	
PWY-3001	superpathway of L-isoleucine biosynthesis I	
PWY-5104	L-isoleucine biosynthesis IV	
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	
PWY-5103	L-isoleucine biosynthesis III	
LEUSYN-PWY	L-leucine biosynthesis	
PWY-2941	L-lysine biosynthesis II	
PWY-5097	L-lysine biosynthesis VI	
LYSINE-AMINOAD-PWY	L-lysine biosynthesis IV	
PWY-3081	L-lysine biosynthesis V	
DAPLYSINESYN-PWY	L-lysine biosynthesis I	L-lysine and L-diaminopimelate biosynthesis
PWY-2942	L-lysine biosynthesis III	
METSYN-PWY	L-homoserine and L-methionine biosynthesis	
PWY-702	L-methionine biosynthesis II	L-methionine biosynthesis via <i>O</i>-phospho-homoserine
HSERMETANA-PWY	L-methionine biosynthesis III	L-methionine biosynthesis by sulfhydrylation
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	L-methionine biosynthesis from L-homoserine	L-methionine biosynthesis by transsulfuration
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	
ADENOSYLHOMOCYSCAT-PWY	L-methionine salvage from L-homocysteine	
PWY-5441	S-methyl-L-methionine cycle	SMM cycle
PWY-7270	L-methionine salvage cycle II (plants)	5'-methylthioadenosine cycle	superpathway of L-methionine recycling (plants)	MTA cycle	Yang cycle
PWY-7527	L-methionine salvage cycle III	5'-methylthioadenosine cycle	MTA cycle
PWY-7528	L-methionine salvage cycle I (bacteria and plants)	5'-methylthioadenosine cycle	MTA cycle	Yang cycle
PWY-6151	<i>S</i>-adenosyl-L-methionine cycle I	SAM cycle	activated methyl cycle	AMC
PWY-5041	<i>S</i>-adenosyl-L-methionine cycle II	activated methyl cycle	SAM cycle
PWY-7174	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II	
PWY-4361	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	
PWY-6628	superpathway of L-phenylalanine biosynthesis	
PWY-3462	L-phenylalanine biosynthesis II	
PHESYN	L-phenylalanine biosynthesis I	
PWY-7432	L-phenylalanine biosynthesis III (cytosolic, plants)	
PROSYN-PWY	L-proline biosynthesis I	
PWY-4981	L-proline biosynthesis II (from arginine)	
PWY-4281	L-proline biosynthesis IV	
PWY-3341	L-proline biosynthesis III	
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	L-proline biosynthesis from arginine
ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine degradation I (L-proline biosynthesis)	
PWY-6994	L-pyrrolysine biosynthesis	
SERSYN-PWY	L-serine biosynthesis	
PWY-6281	L-selenocysteine biosynthesis II (archaea and eukaryotes)	
PWY0-901	L-selenocysteine biosynthesis I (bacteria)	
THRESYN-PWY	superpathway of L-threonine biosynthesis	
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	
PWY-6629	superpathway of L-tryptophan biosynthesis	
TRPSYN-PWY	L-tryptophan biosynthesis	
PWY-6630	superpathway of L-tyrosine biosynthesis	
PWY-6120	L-tyrosine biosynthesis III	
TYRSYN	L-tyrosine biosynthesis I	
PWY-3461	L-tyrosine biosynthesis II	pretyrosine pathway
PWY-6134	L-tyrosine biosynthesis IV	
VALSYN-PWY	L-valine biosynthesis	
PWY-7274	D-cycloserine biosynthesis	
HOMOSERSYN-PWY	L-homoserine biosynthesis	
PWY-1186	L-homomethionine biosynthesis	L-methionine chain elongation pathway
PWY-5344	L-homocysteine biosynthesis	
PWY-5957	L-nicotianamine biosynthesis	
PWY-6196	D-serine metabolism	serine racemization
PWY-6395	superpathway of seleno-compound metabolism	superpathway of seleno-compound detoxification	superpathway of selenium uptake and metabolism	superpathway of seleno-amino acid biosynthesis and detoxification
PWY-6936	seleno-amino acid biosynthesis	Se-amino acid biosynthesis	selenocysteine and selenomethionine biosynthesis
PWY-7275	L-homophenylalanine biosynthesis	
PWY-7648	4-methyl-proline biosynthesis	
PWY-7649	3-hydroxy-<i>L</i>-homotyrosine biosynthesis	
PWY-7701	4-hydroxy-4-methylglutamate biosynthesis	
PWY-3982	uracil degradation I (reductive)	&beta;-alanine biosynthesis
PWY-3981	&beta;-alanine biosynthesis I	&beta;-alanine biosynthesis from polyamines
PWY-5760	&beta;-alanine biosynthesis IV	
PWY-3941	&beta;-alanine biosynthesis II	&beta;-alanine biosynthesis from proprionate
PWY-5155	&beta;-alanine biosynthesis III	
CITRULBIO-PWY	L-citrulline biosynthesis	
PWY-5004	superpathway of L-citrulline metabolism	
PWY-4921	protein citrullination	
ARGININE-SYN4-PWY	L-ornithine biosynthesis II	
PWY-6922	L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis	L-<i>N</i>-delta-acetylornithine biosynthesis	<i>N<sup>&delta;</sup></i>-acetyl-L-ornithine biosynthesis	L-<i>N<sup>5</sup></i>-acetylornithine biosynthesis
GLUTORN-PWY	L-ornithine biosynthesis I	
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	
TRNA-CHARGING-PWY	tRNA charging	
COLANSYN-PWY	colanic acid building blocks biosynthesis	
PWY-5750	itaconate biosynthesis	
PWY-5782	2-keto-L-gulonate biosynthesis	2-keto-gulonate biosynthesis	2-dehydro-gulonate biosynthesis
PWY-6330	acetaldehyde biosynthesis II	PDH-bypass	ligt-dark transition acetaldehyde biosynthesis
PWY-6333	acetaldehyde biosynthesis I	anoxic acetaldehyde biosynthesis	flooding related acetaldehyde biosynthesis
PWY-6622	heptadecane biosynthesis	alkane biosynthesis
PWY-7033	alkane biosynthesis II	
PWY-7032	alkane biosynthesis I	
CALVIN-PWY	Calvin-Benson-Bassham cycle	photosynthetic dark reactions	photosynthetic CO<SUB>2</SUB> fixation	reductive pentose phosphate pathway	Calvin cycle	photosynthesis - dark reaction	carbon fixation	Calvin-Benson cycle
GLYCOCAT-PWY	glycogen degradation I	glycogen catabolism I
PWY-6724	starch degradation II	starch mobilization in chloroplast stroma	transitory starch degradation in chloroplast stroma	starch degradation in chloroplast stroma
GLUCONEO-PWY	gluconeogenesis I	
PWY66-399	gluconeogenesis III	
PWY-6142	gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>)	carbohydrate biosynthesis (<i>Methanobacterium thermoautotrophicum</i>)
PWY0-1241	ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis	
PWY-5831	CDP-abequose biosynthesis	
PWY-5834	CDP-tyvelose biosynthesis	
PWY-5830	CDP-ascarylose biosynthesis	
PWY-5833	CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis	CDP-3,6-dideoxyhexose biosynthesis
PWY-7127	CDP-D-mannitol biosynthesis	
PWY-5823	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis	superpathway of CDP-3,6-dideoxyhexose biosynthesis
PWY-5832	CDP-paratose biosynthesis	
PWY-6998	CDP-D-arabitol biosynthesis	CDP-D-arabinitol biosynthesis
PWY-7719	CMP-diacetamido-8-epilegionaminic acid biosynthesis	CMP-5,7-diacetamido-3,5,7,9-tetradeoxy-L-glycero-D-galacto-non-2-ulosonate biosynthesis	8eLeg5Ac7Ac biosynthesis
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	CMP-Kdo biosynthesis I
PWY-6144	CMP-<i>N</i>-glycoloylneuraminate biosynthesis	
PWY-7674	CMP-8-amino-3,8-dideoxy-D-<I>manno</I>-octulosonate biosynthesis	CMP-Kdo8N biosynthesis I
PWY-6143	CMP-pseudaminate biosynthesis	CMP-pseudaminic acid biosynthesis
PWY-7529	CMP-<i>N</i>-acetyl-7-<i>O</i>-acetylneuraminate biosynthesis	
PWY-6140	CMP-2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate biosynthesis	CMP-2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononic acid biosynthesis	CMP-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nonulosonic acid biosynthesis	CMP-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nonulosonate biosynthesis	CMP-KDN biosynthesis
PWY-6145	superpathway of CMP-sialic acids biosynthesis	
PWY-6139	CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)	CMP-<i>N</i>-acetylneuraminic acid biosynthesis II (bacteria)
PWY-6138	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	CMP-<i>N</i>-acetylneuraminic acid biosynthesis I (eukaryotes)
PWY-7131	CMP-legionaminate biosynthesis II	
PWY-6749	CMP-legionaminate biosynthesis I	CMP-legionaminic acid biosynthesis I	5,7-diacetamido-3,5,7,9-tetradeoxy-D-<i>glycero</i>-D-<i>galacto</i>-nonulosonic acid biosynthesis I	CMP-<i>N</i>, <i>N</i>-diacetyllegionaminate biosynthesis I
PWY-5739	GDP-D-perosamine biosynthesis	GDP-&alpha;-D-perosamine biosynthesis
PWY-6478	GDP-D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose biosynthesis	
PWY-7573	GDP-mycosamine biosynthesis	
PWY-5115	GDP-L-galactose biosynthesis	
PWY-5738	GDP-6-deoxy-D-talose biosynthesis	
PWY-6	GDP-L-fucose biosynthesis II (from L-fucose)	GDP-L-fucose biosynthesis (salvage pathway)
PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	
PWY-7613	GDP-6-deoxy-D-<i>manno</i>-heptose biosynthesis	
GDPRHAMSYN-PWY	GDP-D-rhamnose biosynthesis	GDP-&alpha;-D-rhamnose biosynthesis
PWY-5661	GDP-glucose biosynthesis	
PWY-5740	GDP-L-colitose biosynthesis	
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	GDP-L-fucose biosynthesis I (<i>de novo</i> synthesis)
PWY-7610	GDP-6-deoxy-D-<i>altro</i>-heptose biosynthesis	
PWY-5659	GDP-mannose biosynthesis	
PWY-4841	UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol)	UDP-D-GlcA biosynthesis	UDP-D-glucuronic acid biosynthesis	inositol oxidation pathway
PWY-3821	D-galactose degradation III	UDP-D-galatose biosynthesis (from D-galactose)
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	
PWY-7332	superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis	
PWY-7335	UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis	
PWY-7331	UDP-<i>N</i>-acetyl-&beta;-L-quinovosamine biosynthesis	
PWY-7334	UDP-<i>N</i>-acetyl-&alpha;-D-quinovosamine biosynthesis	UDP-6-deoxy-<i>N</i>- acetylglucosamine biosynthesis
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	UDP-&alpha;-D-glucuronate biosynthesis	UDP-glucuronic acid biosynthesis (from UDP-glucose)	UDP-GlcA biosynthesis
PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis	
PWY-7330	UDP-<i>N</i>-acetyl-&beta;-L-fucosamine biosynthesis	
PWY-7333	UDP-<i>N</i>-acetyl-&alpha;-D-fucosamine biosynthesis	
PWY-7336	UDP-<i>N</i>-acetyl-&alpha;-D-galactosaminuronate biosynthesis	
PWY-7622	UDP-galactofuranose biosynthesis	
PWY-4821	UDP-D-xylose biosynthesis	UDP-xylose biosynthesis	UDPXyl biosynthesis
PWY-7028	UDP-<i>N,N'</i>-diacetylbacillosamine biosynthesis	
PWY-4	UDP-D-galacturonate biosynthesis II (from D-galacturonate)	UDP-D-galacturonate biosynthesis (salvage pathway)
PWY-4861	UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	UDP-galacturonic acid biosynthesis	UDP-GalA biosynthesis
PWY-63	UDP-L-arabinose biosynthesis I (from UDP-xylose)	UDP-L-arabinose biosynthesis (<i>de novo</i> synthesis)
PWY-7344	UDP-D-galactose biosynthesis	
PWY-82	UDP-L-arabinose biosynthesis II (from L-arabinose)	UDP-L-arabinose biosynthesis (salvage pathway)
PWY-3261	UDP-L-rhamnose biosynthesis	
PWY-7343	UDP-glucose biosynthesis	UDP-D-glucose biosynthesis	UDP-&alpha;-D-glucose biosynthesis
PWY-5113	UDP-D-apiose biosynthesis (from UDP-D-glucuronate)	
PWY-6953	dTDP-3-acetamido-&alpha;-D-fucos biosynthesis	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis
PWY-7688	dTDP-D-ravidosamine and dTDP-4-acetyl-D-ravidosamine biosynthesis	
PWY-7316	dTDP-<i>N</i>-acetylviosamine biosynthesis	dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-glucose biosynthesis
PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis	dTDP-4-acetamido-&alpha;-D-fucose biosynthesis	dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-galactose biosynthesis
PWY-7318	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucopyranose biosynthesis
PWY-7312	dTDP-D-&beta;-fucofuranose biosynthesis	
PWY-7317	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis	
PWY-7438	superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis	
PWY-6942	dTDP-D-desosamine biosynthesis	
PWY-6974	dTDP-L-olivose biosynthesis	
PWY-7301	dTDP-4-<i>O</i>-demethyl-&beta;-L-noviose biosynthesis	
PWY-7657	dTDP-&beta;-L-digitoxose biosynthesis	
PWY-6973	dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis	
PWY-7414	dTDP-&alpha;-D-mycaminose biosynthesis	
PWY-7104	dTDP-L-megosamine biosynthesis	
PWY-7440	dTDP-&beta;-L-4-<i>epi</i>-vancosamine biosynthesis	
PWY-7413	dTDP-6-deoxy-&alpha;-D-allose biosynthesis	
PWY-6976	dTDP-L-mycarose biosynthesis	
PWY-7439	dTDP-&beta;-L-evernitrose biosynthesis	
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	
PWY-3221	dTDP-L-rhamnose biosynthesis II	
PWY-7347	sucrose biosynthesis III	
PWY-7238	sucrose biosynthesis II	sucrose biosynthesis II (from starch degradation intermediates)	sucrose biosynthesis II (plant cytosol)
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	sucrose biosynthesis I (from Calvin cycle intermediates)	sucrose biosynthesis I
PWY-3881	mannitol biosynthesis	
PWY-6739	pinitol biosynthesis II	
PWY-6738	pinitol biosynthesis I	
PWY-5054	sorbitol biosynthesis I	
PWY-5530	sorbitol biosynthesis II	
PWY-2661	trehalose biosynthesis V	
PWY-881	trehalose biosynthesis II	trehalose biosynthesis 2
PWY-2622	trehalose biosynthesis IV	
PWY-5985	trehalose biosynthesis VII	
TRESYN-PWY	trehalose biosynthesis I	trehalose biosynthesis
PWY-5983	trehalose biosynthesis VI	
TREHALOSESYN-PWY	trehalose biosynthesis III	
PWY-7027	hentriaconta-3,6,9,12,15,19,22,25,28-nonaene biosynthesis	head-to-head hydrocarbon biosynthesis
PWY-7026	terminal olefins biosynthesis I	1-alkenes biosynthesis
PWY-7035	(<i>Z</i>)-9-tricosene biosynthesis	
PWY-7029	terminal olefins biosynthesis II	1-alkenes biosynthesis II
PWY-5342	ajugose biosynthesis I (galactinol-dependent)	verbascose biosynthesis I (galactinol-dependent)
PWY-6524	lychnose and isolychnose biosynthesis	
PWY-7037	protein <i>O</i>-glycosylation (bacterial)	bacterial <i>O</i>-linked protein glycosylation pathway	undecaprenyl-diphosphate-linked di- and trisaccharide biosynthesis
PWY-5337	stachyose biosynthesis	raffinose biosynthesis
PWY-6116	mannosylfructose biosynthesis	
PWY-7031	protein <i>N</i>-glycosylation (bacterial)	bacterial <i>N</i>-linked protein glycosylation pathway	undecaprenyl diphosphate-linked heptasaccharide biosynthesis
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein <i>N</i>-glycosylation (eukaryotic, high mannose)	mannosyl-chito-dolichol biosynthesis	eukaryotic <i>N</i>-linked glycosylation	dolichyl-diphosphooligosaccharide biosynthesis and attachment
PWY-5343	ajugose biosynthesis II (galactinol-independent)	verbascose biosynthesis II (galactinol-independent)	ajugose biosynthesis II (<i>via</i> galactan:galactan galactosyltransferase)
PWY-6525	stellariose and mediose biosynthesis	galactosyl-oligosaccharides biosynthesis
PWY-1001	cellulose biosynthesis	
PWY-1061	homogalacturonan biosynthesis	pectin biosynthesis
PWY-5936	xyloglucan biosynthesis	
PWY-5980	xylogalacturonan biosynthesis	
PWY-6403	carrageenan biosynthesis	
PWY-6655	xanthan biosynthesis	
PWY-6658	acetan biosynthesis	
PWY-6773	1,3-&beta;-D-glucan biosynthesis	callose biosynthesis
PWY-6981	chitin biosynthesis	
PWY-822	fructan biosynthesis	
PWY-6082	alginate biosynthesis II (bacterial)	bacterial alginate biosynthesis
PWY-6073	alginate biosynthesis I (algal)	alginic acid biosynthesis(algal)	algal algnate biosynthesis
PWY-622	starch biosynthesis	
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)	
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	
PWY-6571	dermatan sulfate biosynthesis	
PWY-6557	glycoaminoglycan-protein linkage region biosynthesis	heparan sulfate biosynthesis (early stages)	chondroitin sulfate biosynthesis (early stages)	GAG-protein linkage region biosynthesis
PWY-6566	chondroitin biosynthesis	
PWY-6569	chondroitin sulfate biosynthesis	
PWY-6564	heparan sulfate biosynthesis	
