#110000
#110001
#110101
#110100
#010100
#010101
#001100
#001101
#011110
#011111
#001001
#001000
#011011
#011010
#000110
#000111
#000011
#000010
PWY-5344	L-homocysteine biosynthesis
PWY0-1533	methylphosphonate degradation I;carbon-phosphorus lyase pathway
BGALACT-PWY	lactose degradation III;lactose degradation 3
GALACTUROCAT-PWY	D-galacturonate degradation I;D-galacturonate catabolism;D-galacturonate degradation
PWY0-1309	chitobiose degradation
PWY-6038	citrate degradation
PWY-7335	UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis
PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis;dTDP-4-acetamido-&alpha;-D-fucose biosynthesis;dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-galactose biosynthesis
PWY-5901	2,3-dihydroxybenzoate biosynthesis
PWY-6519	8-amino-7-oxononanoate biosynthesis I;7-keto-8-aminopelargonate biosynthesis I
PWY0-1324	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I;<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate
THREONINE-DEG2-PWY	L-threonine degradation II;threonine dehydrogenase pathway;TDG pathway
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
PWY3O-4106	NAD salvage pathway III;nicotinamide riboside salvage pathway;nicotinamide adenine dinucleotide salvage
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis
PWY-7181	pyrimidine deoxyribonucleosides degradation
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation
GALACTCAT-PWY	D-galactonate degradation;D-galactonate catabolism
FUCCAT-PWY	fucose degradation;fucose catabolism
PWY-6537	4-aminobutanoate degradation II
RIBOKIN-PWY	ribose degradation;ribose catabolism
P2-PWY	citrate lyase activation
PWY0-1578	hydrogen to trimethylamine N-oxide electron transfer
PWY0-1280	ethylene glycol degradation
PWY-6618	guanine and guanosine salvage III
PWY-7179	purine deoxyribonucleosides degradation I
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis;HMP-PP biosynthesis
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis
PWY0-1465	D-malate degradation
PWY-6611	adenine and adenosine salvage V;adenosine nucleosides salvage V
#100010
#100011
#101110
#101111
PWY0-42	2-methylcitrate cycle I
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II
LCYSDEG-PWY	L-cysteine degradation II;L-cysteine catabolism;L-cysteine degradation
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
PWY-5659	GDP-mannose biosynthesis
PWY-5668	cardiolipin biosynthesis I
PWY0-1335	NADH to cytochrome <i>bo</i> oxidase electron transfer I
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I;glycolate utilization I;glycolate degradation I
CYANCAT-PWY	cyanate degradation;cyanate catabolism
ALADEG-PWY	L-alanine degradation I
#111001
#111000
#101011
#101010
#110011
#110010
#010010
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway);protocatechuate branch of the 3-oxoadipate pathway;protocatechuate branch of the 3-ketoadipate pathway;protocatechuate branch of the &beta;-ketoadipate pathway;protocatechuate degradation via ortho-cleavage;protocatechuate degradation via the &beta;-ketoadipate pathway;protocatechuate 3,4-cleavage
HISDEG-PWY	L-histidine degradation I
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)
PWY-6902	chitin degradation II
GLUTAMINEFUM-PWY	L-glutamine degradation II
PROUT-PWY	L-proline degradation;L-proline utilization
PWY-6124	inosine-5'-phosphate biosynthesis II;IMP biosynthesis II
TYRFUMCAT-PWY	L-tyrosine degradation I;tyrosine fumarate catabolism
PWY-7185	UTP and CTP dephosphorylation I;pyrimidine nucleotides dephosphorylation
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
PWY-5766	L-glutamate degradation X
PWY-5041	<i>S</i>-adenosyl-L-methionine cycle II;activated methyl cycle;SAM cycle
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation;4-HPA degradation;homoprotocatechuate degradation
PWY-5137	fatty acid &beta;-oxidation III (unsaturated, odd number)
PWY-6422	D-arginine degradation;arginine dehydrogenase (ADH) pathway
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation;ureide biogenesis;inosine 5'-phosphate degradation;IMP degradation;urate biosynthesis
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis
PWY-4984	urea cycle;Krebs ornithine cycle;Krebs-Henseleit cycle
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I;phosphonotase pathway
PWY-7639	bis(guanylyl molybdenum cofactor) biosynthesis;bisMGD biosynthesis;bis-MPT guanine dinucleotide cofactor biosynthesis
PWY-6932	selenate reduction;selenium metabolism;selenium assimilation
PWY-6420	pyrroloquinoline quinone biosynthesis;PQQ biosynthesis
PWY-5704	urea degradation II
PWY-5508	adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide II
PWY-2201	folate transformations I
GLUTAMATE-DEG1-PWY	L-glutamate degradation I;GDH shunt
PWY-6896	thiamine salvage I;thiamin salvage I
PWY-5886	4-hydroxyphenylpyruvate biosynthesis
PWY-6893	thiamine diphosphate biosynthesis II (Bacillus);vitamin B<sub>1</sub> biosynthesis II;thiamin diphosphate biosynthesis II (Bacillus)
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose);anaerobic glycolysis;Embden-Meyerhof-Parnas pathway;EMP pathway;glycolysis III (glucokinase)
CITRULLINE-DEG-PWY	L-citrulline degradation
PWY-5148	acyl-CoA hydrolysis;acyl-CoA thioesterase pathway
PWY-5143	long-chain fatty acid activation;long-chain acyl-CoA synthetase pathway
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate;catechol degradation, ortho-cleavage
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis;[Fe-S] cluster biosynthesis;[2Fe-2S] cluster biosynthesis
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II
ASPARTATE-DEG1-PWY	L-aspartate degradation I
DARABITOLUTIL-PWY	D-arabitol degradation;D-arabitol utilization
PWY-5989	stearate biosynthesis II (bacteria and plants);stearic acid biosynthesis
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative);2-dehydro-D-gluconate pyruvate catabolism;2-dehydro-D-gluconate pyruvate degradation;2-dehydro-D-gluconate degradation
PWY-5796	malonate decarboxylase activation
CHOLINE-BETAINE-ANA-PWY	choline degradation I;choline betaine anabolism
PWY-7686	L-malate degradation II;(<i>S</i>)--malate degradation I
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate;folic acid salvage;folate salvage;THF salvage
PWY-5691	urate degradation to allantoin I
#010011
#010111
#010110
#110110
#110111
#011000
#011001
#001111
#001110
#011101
#011100
#001010
#001011
#101101
PWY0-43	conversion of succinate to propanoate;conversion of succinate to propionate
PWY0-44	D-allose degradation;D-allose catabolism
PROUT-PWY-I	PROUT-PWY-I
PWY0-1495	PWY0-1495
PWY0-1497	PWY0-1497
PWY0-1559	PWY0-1559
PWY0-1492	PWY0-1492
PWY0-1493	PWY0-1493
PWY0-1554	5-(carboxymethoxy)uridine biosynthesis;cmo<sup>5</sup>U34 tRNA biosynthesis;5-oxyacetyluridine biosynthesis
PWY0-1498	PWY0-1498
PWY0-1499	PWY0-1499
PWY0-181	PWY0-181
PWY0-1391	<i>S</i>-methyl-5'-thioadenosine degradation IV;methylthioadenosine degradation IV
PYRIDNUCSAL-PWY	NAD salvage pathway I;pyridine nucleotide cycling;PNC pathway;nicotinamide adenine dinucleotide salvage
PWY0-163	PWY0-163
PWY0-1306	L-galactonate degradation
PWY0-1300	2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation
PWY0-1303	aminopropylcadaverine biosynthesis
PWY0-1545	cardiolipin biosynthesis III
PWY0-1468	PWY0-1468
PWY-7446	sulfoquinovose degradation I;sulphoglycolysis;sulfoglycolysis
DARABCATK12-PWY	D-arabinose degradation I;D-arabinose catabolism
PWY0-1490	PWY0-1490
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)
GALACTMETAB-PWY	GALACTMETAB-PWY
PWY0-1550	PWY0-1550
PWY0-1573	PWY0-1573
PROPIONMET-PWY	propanoyl CoA degradation I;propionyl CoA degradation I
PWY0-1275	lipoate biosynthesis and incorporation II
LYXMET-PWY	L-lyxose degradation;L-lyxose metabolism
GLYOXDEG-PWY	glycolate and glyoxylate degradation II;glyoxylate degradation
PWY-7195	pyrimidine ribonucleosides salvage III
PWY0-1470	PWY0-1470
PWY0-1474	PWY0-1474
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic);ascorbic acid degradation I
PWY0-1565	D-lactate to cytochrome <i>bo</i> oxidase electron transport
PWY0-1567	NADH to cytochrome <i>bo</i> oxidase electron transfer II
PWY0-1568	NADH to cytochrome <i>bd</i> oxidase electron transport II
PWY0-1569	autoinducer AI-2 degradation;(<i>S</i>)-4,5-dihydroxypentane-2,3-dione degradation;autoinducer 2 degradation;AI-2 degradation
PWY0-1514	PWY0-1514
PWY-5965	fatty acid biosynthesis initiation III
CARNMET-PWY	L-carnitine degradation I
GLYCEROLMETAB-PWY	glycerol degradation V
PWY0-1317	L-lactaldehyde degradation (aerobic)
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate;3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation to 2-oxopent-4-enoate
PWY0-1356	formate to dimethyl sulfoxide electron transfer
PWY0-1355	formate to trimethylamine <i>N</i>-oxide electron transfer
PWY0-1512	PWY0-1512
PWY0-1515	PWY0-1515
PWY0-1352	nitrate reduction VIII (dissimilatory);NADH to nitrate electron transfer
PWY0-1517	sedoheptulose bisphosphate bypass
PWY0-1519	PWY0-1519
PWY0-1518	PWY0-1518
PWY-6019	pseudouridine degradation
PWY-6605	adenine and adenosine salvage II;adenosine nucleosides salvage II
PWY0-1458	PWY0-1458
PWY0-1527	curcumin degradation;curcumin metabolism
IDNCAT-PWY	L-idonate degradation;L-idonic acid catabolism;L-idonate catabolism
PWY0-1348	NADH to dimethyl sulfoxide electron transfer
PWY-6476	cytidylyl molybdenum cofactor biosynthesis;MCD biosynthesis;molybdopterin cytosine dinucleotide biosynthesis
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)
PWY0-1347	NADH to trimethylamine <i>N</i>-oxide electron transfer
PWY0-1503	PWY0-1503
PWY0-1500	PWY0-1500
PWY0-1501	PWY0-1501
PWY0-1506	PWY0-1506
PWY0-1505	PWY0-1505
PWY0-1509	PWY0-1509
NRI-PWY	NRI-PWY
PWY-5453	methylglyoxal degradation III
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)
PWY0-521	fructoselysine and psicoselysine degradation;fructoselysine degradation
PWY0-522	lipoate salvage I
PWY0-1581	nitrate reduction IX (dissimilatory);glycerol-3-phosphate to nitrate electron transfer
PWY0-1584	nitrate reduction X (periplasmic, dissimilatory);periplasmic glycerol-3-phosphate to nitrate electron transfer
PWY0-1585	PWY0-1585
PWY-5437	L-threonine degradation I
LIPA-CORESYN-PWY	Lipid A-core biosynthesis
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose);GDP-L-fucose biosynthesis I (<i>de novo</i> synthesis)
PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer I
PWY0-1337	oleate &beta;-oxidation
PWY0-1336	NADH to fumarate electron transfer
PWY0-1534	hydrogen sulfide biosynthesis I
PWY0-1433	tetrahydromonapterin biosynthesis
TRYPDEG-PWY	L-tryptophan degradation II (via pyruvate)
NONMEVIPP-PWY	methylerythritol phosphate pathway I;nonmevalonate isopentenyl diphosphate biosynthesis;methylerythritol phosphate degradation;MEP degradation;deoxyxylulose phosphate pathway;DOXP pathway;Rohmer pathway;isopentenyl diphosphate biosynthesis -- mevalonate-independent;nonmevalonate isoprenoid pathway;MEP pathway
PWY0-1483	PWY0-1483
PWY0-1482	PWY0-1482
PWY0-1481	PWY0-1481
PWY-5966	fatty acid biosynthesis initiation II
PWY0-1487	PWY0-1487
PWY0-1485	PWY0-1485
PWY-5484	glycolysis II (from fructose 6-phosphate)
PWY0-1321	nitrate reduction III (dissimilatory);formate to nitrate electron transfer
GLYCOCAT-PWY	glycogen degradation I;glycogen catabolism I
GALACTITOLCAT-PWY	galactitol degradation;galactitol catabolism
PWY-6556	pyrimidine ribonucleosides salvage II
#000001
#100111
#100110
#000101
#000100
#111111
PWY-7205	CMP phosphorylation
SERSYN-PWY	L-serine biosynthesis
PWY0-1313	acetate conversion to acetyl-CoA
PWY-5155	&beta;-alanine biosynthesis III
AST-PWY	L-arginine degradation II (AST pathway);L-arginine succinyltransferase pathway;AST pathway;ammonia-producing L-arginine catabolic pathway;L-arginine catabolism
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I;glucosamine degradation;N-acetyl-glucosamine degradation
PWY0-1314	fructose degradation
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation
ASPARAGINE-DEG1-PWY	L-asparagine degradation I
PWY-46	putrescine biosynthesis III;ODC pathway
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA;2-oxoglutarate dehydrogenase complex;2-ketoglutarate dehydrogenase complex
PWY-4381	fatty acid biosynthesis initiation I;de novo fatty acid biosynthesis, initial reactions
TRNA-CHARGING-PWY	tRNA charging
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I;vitamin B<sub>6</sub> biosynthesis
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose);UDP-&alpha;-D-glucuronate biosynthesis;UDP-glucuronic acid biosynthesis (from UDP-glucose);UDP-GlcA biosynthesis
PWY-7344	UDP-D-galactose biosynthesis
GLUCONSUPER-PWY	D-gluconate degradation;gluconate utilization
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis;lipid-A-precursor biosynthesis
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)
THIOREDOX-PWY	thioredoxin pathway
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I;arginine degradation to spermidine;spermidine biosynthesis
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase;alkanesulfonate monooxygenase two-component system;alkanesulfonate monooxygenase
LEUSYN-PWY	L-leucine biosynthesis
PWY-5669	phosphatidylethanolamine biosynthesis I
PWY-5667	CDP-diacylglycerol biosynthesis I;CDP-diacylglycerol biosynthesis
GLUTSYNIII-PWY	L-glutamate biosynthesis III
ALANINE-SYN2-PWY	L-alanine biosynthesis II
PWY-6164	3-dehydroquinate biosynthesis I
PWY0-1264	biotin-carboxyl carrier protein assembly;BCCP assembly
PWY0-1261	anhydromuropeptides recycling;1,6-anhydro-<i>N</i>-acetylmuramic acid recycling;cell wall recycling
PWY0-1312	acetate formation from acetyl-CoA I
COA-PWY	coenzyme A biosynthesis I;CoA biosynthesis
XYLCAT-PWY	xylose degradation I;xylose catabolism
KDO-LIPASYN-PWY	(Kdo)<sub>2</sub>-lipid A biosynthesis I
PWY-6535	4-aminobutanoate degradation I;&gamma;-amino-butyrate shunt;GABA degradation
PPGPPMET-PWY	ppGpp biosynthesis;guanosine 3'-diphosphate 5'-diphosphate biosynthesis
PWY0-1466	trehalose degradation VI (periplasmic)
ASPARAGINESYN-PWY	L-asparagine biosynthesis II;L-asparagine - L-aspartate pathway
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate);Embden-Meyerhof pathway;Embden-Meyerhof-Parnas pathway;EMP pathway;glycolysis (plastidic)
1CMET2-PWY	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;<i>N</i><sup>10</sup>-formyl-THF biosynthesis
PWY0-1182	trehalose degradation II (trehalase)
SERDEG-PWY	L-serine degradation
ASPARTATESYN-PWY	L-aspartate biosynthesis;L-aspartate biosynthesis and degradation
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants);riboflavin, FMN and FAD biosynthesis;vitamin B<sub>2</sub> biosynthesis
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)
PWY0-1319	CDP-diacylglycerol biosynthesis II
PWY-5386	methylglyoxal degradation I
PWY0-1021	L-alanine biosynthesis III
FASYN-ELONG-PWY	fatty acid elongation -- saturated
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis
PWY0-1479	tRNA processing
PWY-5783	octaprenyl diphosphate biosynthesis
PWY-6620	guanine and guanosine salvage
PWY0-1477	ethanolamine utilization
TCA	TCA cycle I (prokaryotic);tricarboxylic acid cycle;citric acid cycle;Krebs cycle;Szent-Gyorgyi-Krebs cycle
CYSTSYN-PWY	L-cysteine biosynthesis I
PWY-6894	thiamine diphosphate biosynthesis I (E. coli);vitamin B<sub>1</sub> biosynthesis;thiamin diphosphate biosynthesis I (E. coli)
PWY0-1561	glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer
PWY-6892	thiazole biosynthesis I (facultative anaerobic bacteria);(<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
GLUTATHIONESYN-PWY	glutathione biosynthesis
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
GLUTORN-PWY	L-ornithine biosynthesis I
HEMESYN2-PWY	heme biosynthesis II (anaerobic)
PHESYN	L-phenylalanine biosynthesis I
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate);nicotinamide adenine dinucleotide biosynthesis
PWY-7183	pyrimidine nucleobases salvage I;uracil salvage
SALVPURINE2-PWY	xanthine and xanthosine salvage
PWY-6617	adenosine nucleotides degradation III;adenosine ribonucleotide/ribonucleoside metabolism
PWY-6614	tetrahydrofolate biosynthesis;folic acid biosynthesis;folate biosynthesis;THF biosynthesis
PWY-5194	siroheme biosynthesis
GLYCLEAV-PWY	glycine cleavage;glycine cleavage system;glycine decarboxylase complex;gcv system;glycine cleavage complex
GLYSYN-PWY	glycine biosynthesis I
GLYOXYLATE-BYPASS	glyoxylate cycle;glyoxylate bypass;glyoxylate shunt
HOMOSER-THRESYN-PWY	L-threonine biosynthesis
PANTO-PWY	phosphopantothenate biosynthesis I;vitamin B<sub>5</sub> biosynthesis
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis
PWY-7220	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7222	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate);palmitoleic acid biosynthesis I;palmitoleate biosynthesis (anaerobic)
PWY0-662	PRPP biosynthesis I;5-phosphoribosyl 1-pyrophosphate biosynthesis
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I;ED pathway
PWY-6952	glycerophosphodiester degradation
PWY-6609	adenine and adenosine salvage III;adenosine nucleotides salvage III
PWY-6608	guanosine nucleotides degradation III
PWY-5686	UMP biosynthesis;uridine-5'-phosphate biosynthesis;<i>de novo</i> biosynthesis of uridine-5'-phosphate;<i>de novo</i> biosynthesis of uridine-5'-monophosphate
PWY0-1299	arginine dependent acid resistance
PWY-5350	thiosulfate disproportionation III (rhodanese)
SAM-PWY	S-adenosyl-L-methionine biosynthesis;S-adenosylmethionine biosynthesis
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)
PWY0-321	phenylacetate degradation I (aerobic)
TRPSYN-PWY	L-tryptophan biosynthesis
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I;vitamin B<sub>12</sub> biosynthesis
GLUTAMINDEG-PWY	L-glutamine degradation I
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I;biotin biosynthesis from 7-keto-8-aminopelargonate
